,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
0,2.2530592339379445,0.4812181044598015,1.3245156779885292,0.6331905126571655,1.3350943475961685,0.6308908462524414
1,0.976082024525623,0.7294004790636958,0.8444157652556896,0.7527406811714172,0.9408684596419334,0.7370526790618896
2,0.7732031552159057,0.7852997293277663,0.7903056517243385,0.7724924087524414,0.8550664708018303,0.7655304670333862
3,0.6736592954518844,0.8181441170828683,0.7456529848277569,0.8047189712524414,0.7955643311142921,0.7917086482048035
4,0.4588401062147958,0.8691645252461336,0.5778550356626511,0.8411038517951965,0.6243727803230286,0.8291015625
5,0.4007074656535168,0.8777423780791613,0.5253409892320633,0.8499559164047241,0.5649881344288588,0.8450101017951965
6,0.4723191024089346,0.8827487400599888,0.5179828405380249,0.8498929142951965,0.549932699650526,0.8526965379714966
7,0.3392394860180057,0.9009566015126754,0.5029518343508244,0.856665849685669,0.5357518158853054,0.8595640063285828
8,0.3180690197920313,0.9049744897959183,0.49241432547569275,0.8596585392951965,0.5311724673956633,0.862525224685669
9,0.306602947565974,0.9125318721849092,0.48724736645817757,0.8587449789047241,0.5302517283707857,0.8507749438285828
10,0.2980233581394565,0.9135522647779815,0.47593748569488525,0.8596585392951965,0.5276737473905087,0.8585244417190552
11,0.301456305445457,0.9165816015126754,0.4738164059817791,0.8665259480476379,0.5157545581459999,0.8605090379714966
12,0.288071658234207,0.9146045762665418,0.4658762365579605,0.8587134480476379,0.5219436921179295,0.856665849685669
13,0.3029312159942121,0.9074935913085938,0.4887884296476841,0.8596585392951965,0.5233003180474043,0.860572099685669
14,0.287181128348623,0.9102040504922673,0.47808636724948883,0.8645098209381104,0.5312276463955641,0.8537046313285828
15,0.31498830020427704,0.909343096674705,0.46500038728117943,0.8596585392951965,0.49853493459522724,0.8586504459381104
16,0.3190808685458436,0.9082907851861448,0.4608217142522335,0.8694871664047241,0.5271089002490044,0.8517199754714966
17,0.3044717065533813,0.9059630413444675,0.4664958119392395,0.8685106039047241,0.5239608269184828,0.8585874438285828
18,0.31772491122995106,0.9034120209363042,0.46928301453590393,0.8615801334381104,0.5059765111654997,0.8635647892951965
19,0.2992815995702938,0.9114795606963488,0.47110793367028236,0.8606665730476379,0.5370411649346352,0.8555947542190552
20,0.27460651890355714,0.9169323979591837,0.4774697422981262,0.8674395084381104,0.5314967818558216,0.8575793504714966
21,0.321033528264688,0.9106186068787867,0.4790378026664257,0.8645413517951965,0.5269884429872036,0.8536416292190552
22,0.3100778274998373,0.9063775198800224,0.4945777915418148,0.8655179142951965,0.534903708845377,0.8545867204666138
23,0.325626937710509,0.8979911025689573,0.46908732131123543,0.8665574789047241,0.5304682850837708,0.854712724685669
24,0.306419416957972,0.9058992035534917,0.4668259546160698,0.8655179142951965,0.5077992491424084,0.8645413517951965
25,0.32705866408591366,0.9183354280432876,0.4709051363170147,0.8684160709381104,0.5212664604187012,0.8605405688285828
26,0.3804588947369128,0.9020408318967236,0.46569405496120453,0.8734878897666931,0.5222694501280785,0.8546496629714966
27,0.31304891012152847,0.9088329393036512,0.4804804101586342,0.8684160709381104,0.5368163622915745,0.8517515063285828
28,0.31189124590280104,0.9062180811045121,0.47292284667491913,0.8655179142951965,0.5168649312108755,0.8556262254714966
29,0.2788127776311368,0.9125318721849092,0.465222992002964,0.8606665730476379,0.5098107159137726,0.8566343188285828
